NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
1389,5755/PAMNS/2024,5755.01,BUMI,813 LIY B,SABAKGRIP,26 Oktober 2022,26 Oktober 2024
1390,5756/PAMNS/2024,5756.02,BUMI,813 LIY B,SABAKGRIP,26 Oktober 2022,26 Oktober 2024
8221,5757/PAMNS/2024,5757.01,SEWU DINO,813 SIM S,PT Bukune Kreatif Cipta,26 Oktober 2022,26 Oktober 2024
8141,5758/PAMNS/2024,5758.01,Sepotong Hati Yang Baru,813 LIY S,Mahaka Publishing,26 Oktober 2022,26 Oktober 2024
390,5759/PAMNS/2024,5759.02,Akar,813 Les A,PT Bentang Pustaka,26 Oktober 2022,29 Oktober 2024
391,5760/PAMNS/2024,5760.03,Akar,813 Les A,PT Bentang Pustaka,26 Oktober 2022,29 Oktober 2024
817,5761/PAMNS/2024,5761.01,Autumn in Paris,813 Tan A,PT Gramedia Pustaka Utama,26 Oktober 2022,26 Oktober 2024
818,5762/PAMNS/2024,5762.02,Autumn in Paris,813 Tan A,PT Gramedia Pustaka Utama,26 Oktober 2022,26 Oktober 2024
8429,5763/PAMNS/2024,5763.01,Spring in London,813 Tan S,PT Gramedia Pustaka Utama,26 Oktober 2022,26 Oktober 2024
8430,5764/PAMNS/2024,5764.02,Spring in London,813 Tan S,PT Gramedia Pustaka Utama,26 Oktober 2022,26 Oktober 2024
